ds,yhat,yhat_lower,yhat_upper,sku,run_id,type
2022-12-25,47.355197899721695,40.60853147548911,52.813706588337325,Viral Spike,20251207_2248,forecast
2022-12-26,14.121871641664574,8.291865622469583,19.820569439963155,Viral Spike,20251207_2248,forecast
2022-12-27,12.021037036699356,5.631415067312282,18.438769034375586,Viral Spike,20251207_2248,forecast
2022-12-28,10.266107516316024,3.9989186007336306,16.289275125053933,Viral Spike,20251207_2248,forecast
2022-12-29,13.364206356761656,7.443173192229281,19.533514298122572,Viral Spike,20251207_2248,forecast
2022-12-30,13.028851876937708,6.932572674300462,19.016865118672722,Viral Spike,20251207_2248,forecast
2022-12-31,17.422522870554374,11.176676797318015,23.304480556997127,Viral Spike,20251207_2248,forecast
2023-01-02,15.15490445908481,9.42270885999091,21.467505620692034,Viral Spike,20251207_2248,forecast
2023-01-03,15.302660163917656,9.072571452748315,21.396041714747927,Viral Spike,20251207_2248,forecast
2023-01-04,12.016320547619019,5.777979427368286,17.820210397128466,Viral Spike,20251207_2248,forecast
2023-01-05,16.74038047604209,10.649327265431983,22.668355827826282,Viral Spike,20251207_2248,forecast
2023-01-06,12.915204702433748,6.7434437742075355,18.30176486076894,Viral Spike,20251207_2248,forecast
2023-01-07,16.300069494400788,9.813643459768944,22.194990322460338,Viral Spike,20251207_2248,forecast
2023-01-08,16.057471726209055,10.318256986780593,22.03628395997641,Viral Spike,20251207_2248,forecast
2023-01-09,9.192151561072958,3.195983920550302,15.117398795484268,Viral Spike,20251207_2248,forecast
2023-01-10,8.905237838133859,2.9815103893629793,15.056580977361858,Viral Spike,20251207_2248,forecast
2023-01-11,9.084626342394948,2.9590894169455884,15.05999448427444,Viral Spike,20251207_2248,forecast
2023-01-12,8.926706155323732,2.8000934634065935,15.011198407958721,Viral Spike,20251207_2248,forecast
2023-01-13,8.983353994484341,2.5811960984911666,14.983847197872183,Viral Spike,20251207_2248,forecast
2023-01-14,11.905791871781833,5.544622706986587,18.00196380830719,Viral Spike,20251207_2248,forecast
2023-01-15,12.568738522618318,6.089153760078802,18.251568229602924,Viral Spike,20251207_2248,forecast
2023-01-16,9.921197178036577,4.183900876111796,16.40356375527799,Viral Spike,20251207_2248,forecast
2023-01-17,10.892226820942627,4.500683389821582,16.865819977012244,Viral Spike,20251207_2248,forecast
2023-01-18,12.399186328733682,5.893199258225738,18.281792377439107,Viral Spike,20251207_2248,forecast
2023-01-19,13.592907717328533,7.423453935931086,19.29747516637472,Viral Spike,20251207_2248,forecast
2023-01-20,15.011230374020496,8.667712502795506,20.989429267331577,Viral Spike,20251207_2248,forecast
2023-01-21,19.28222527705238,13.891220889503806,25.33356878673992,Viral Spike,20251207_2248,forecast
2023-01-22,21.233791233795536,15.066909978155516,27.291467049902742,Viral Spike,20251207_2248,forecast
2023-01-23,19.792181452654106,13.797551364880306,25.73625022285933,Viral Spike,20251207_2248,forecast
2023-01-24,21.865123514440246,16.056610307090057,27.93159923979949,Viral Spike,20251207_2248,forecast
2023-01-25,24.33703642104693,18.549540605495313,30.24582074195917,Viral Spike,20251207_2248,forecast
2023-01-26,26.34945235561652,20.029184488736327,32.25017590384152,Viral Spike,20251207_2248,forecast
2023-01-27,28.407063096261584,22.167940960181628,34.37036284516403,Viral Spike,20251207_2248,forecast
2023-01-28,33.116421238024564,27.056175010267427,38.81485517815082,Viral Spike,20251207_2248,forecast
2023-01-29,35.29997651786264,29.535727515625922,41.429438804659455,Viral Spike,20251207_2248,forecast
2023-01-30,33.87648943550108,27.65080203278095,39.83444311049439,Viral Spike,20251207_2248,forecast
2023-01-31,35.738361609166766,29.265856347628453,41.7422323731455,Viral Spike,20251207_2248,forecast
2023-02-01,37.77494818107451,31.46124895151303,43.949244225647675,Viral Spike,20251207_2248,forecast
2023-02-02,39.13394734098484,33.24819975713544,45.693770503048746,Viral Spike,20251207_2248,forecast
2023-02-03,40.32875091468485,34.46196243941479,46.52760670119475,Viral Spike,20251207_2248,forecast
2023-02-04,43.97580370005525,38.308694331001504,49.688076246160726,Viral Spike,20251207_2248,forecast
2023-02-05,44.923709259973556,38.92352430840018,50.79509677574388,Viral Spike,20251207_2248,forecast
2023-02-06,42.114786423840435,36.03440895223133,48.288307785039656,Viral Spike,20251207_2248,forecast
2023-02-07,42.45587717177212,36.494940035005854,48.75260046642685,Viral Spike,20251207_2248,forecast
2023-02-08,42.86905130211948,36.89525971260139,49.06729607930249,Viral Spike,20251207_2248,forecast
2023-02-09,42.533308088871934,36.35674279869045,48.97077224538619,Viral Spike,20251207_2248,forecast
2023-02-10,41.992639375616044,36.487746219533726,48.38606369244567,Viral Spike,20251207_2248,forecast
2023-02-11,43.891534168873164,37.71021367783733,49.917597169975366,Viral Spike,20251207_2248,forecast
2023-02-12,43.118732675526054,37.2256900282723,49.0913037834494,Viral Spike,20251207_2248,forecast
2023-02-13,38.64960654953198,32.54675632772659,45.09497514950283,Viral Spike,20251207_2248,forecast
2023-02-14,37.410235073316564,31.338534209923328,43.21887655613172,Viral Spike,20251207_2248,forecast
2023-02-15,36.35540773772169,30.281948615492137,42.48649796279737,Viral Spike,20251207_2248,forecast
2023-02-16,34.69066057909359,28.584069935105095,40.774648427028524,Viral Spike,20251207_2248,forecast
2023-02-17,32.98119022338696,27.300228956298046,39.01975376753494,Viral Spike,20251207_2248,forecast
2023-02-18,33.88575410905591,27.737528940359038,40.17733930124394,Viral Spike,20251207_2248,forecast
2023-02-19,32.31542823564367,26.108964477426834,38.770466680361665,Viral Spike,20251207_2248,forecast
2023-02-20,27.257262211817842,21.178086880174494,33.63019998869632,Viral Spike,20251207_2248,forecast
2023-02-21,25.608702437282307,19.834616565737726,31.42452055624999,Viral Spike,20251207_2248,forecast
2023-02-22,24.356108774720095,18.58419490572736,30.486862791817135,Viral Spike,20251207_2248,forecast
2023-02-23,22.70403631854674,16.659311908561875,28.48672467468355,Viral Spike,20251207_2248,forecast
2023-02-25,22.49917550459086,16.15029749797671,28.031569947860053,Viral Spike,20251207_2248,forecast
2023-02-26,21.50082085685155,15.698909368504014,28.004069910709546,Viral Spike,20251207_2248,forecast
2023-02-27,17.19616914921533,10.92092729007968,23.46443279771703,Viral Spike,20251207_2248,forecast
2023-02-28,16.43263769412033,10.36658212109596,22.684603200099478,Viral Spike,20251207_2248,forecast
2023-03-01,16.1675421491838,10.127605266125077,22.038257826832012,Viral Spike,20251207_2248,forecast
2023-03-02,15.586606877056727,9.389723054834523,21.75092726480425,Viral Spike,20251207_2248,forecast
